 tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium
lat_bins -80 -70 -60 -50 -40 -30 -20 -10 0 10 20 30 40 50 60 70 80
time                 
1950.000000000 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.007617389
1950.084931507 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.007474090
1950.161643836 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.007401831
1950.246575342 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.006993649
1950.328767123 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.006843181
1950.413698630 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.007244987
1950.495890411 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.005431729
1950.580821918 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110607637 8.972237479 4.817002230 5.650000000 21.007600865
1950.665753425 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110486577 8.972188019 4.816996216 5.650000000 21.005542618
1950.747945205 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110915323 8.972301731 4.817212857 5.650000000 21.006622763
1950.832876712 3.110002483 3.110002483 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485010155 3.111330200 8.972401320 4.817418155 5.650000000 21.007327909
1950.915068493 3.110010531 3.110010531 2.583334652 2.039097803 1.942858680 1.130000722 2.700000000 0.720714769 1.280000695 1.526667886 1.825000000 3.485033091 3.111102447 8.972315152 4.817343362 5.650044624 21.004463690
1951.000000000 3.110027320 3.110027320 2.583342083 2.039103602 1.942867342 1.130004790 2.700000000 0.720717493 1.280004613 1.526674759 1.825000000 3.485045518 3.112127279 8.972647758 4.817823305 5.650296142 21.010583542
1951.084931507 3.110041548 3.110041548 2.583347843 2.039109099 1.942874117 1.130008519 2.700002295 0.720721953 1.280008853 1.526673591 1.825013486 3.485076349 3.111529233 8.972402939 4.817557139 5.650285892 21.004219500
1951.161643836 3.110050753 3.110050753 2.583352404 2.039112282 1.942878865 1.130011206 2.700003145 0.720723499 1.280012430 1.526683322 1.825016104 3.485081582 3.112076203 8.972603663 4.817827559 5.650483902 21.008323671
