 tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium
lat_bins -80 -78 -76 -74 -72 -70 -68 -66 -64 -62 -60 -58 -56 -54 -52 -50 -48 -46 -44 -42 -40 -38 -36 -34 -32 -30 -28 -26 -24 -22 -20 -18 -16 -14 -12 -10 -8 -6 -4 -2 0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80 82 84 86 88
time                                                                                     
1950.000000000 9.650000000 4.977467120 2.942158121 1.971561911 1.481671432 1.235380526 1.130491308 1.123211690 1.198654968 1.359174540 1.620000000 2.007815576 2.559834699 3.321158482 4.337776101 5.642282073 7.230408997 9.030288401 10.873799981 12.488558149 13.533333333 13.734289571 13.128423356 11.927709563 10.393762860 8.765828604 7.220224888 5.861101071 4.731638849 3.833372442 3.145000000 2.632979982 2.253795220 1.973594676 1.768946579 1.623758128 1.527265186 1.472755613 1.456822591 1.479036940 1.542000000 1.650523133 1.807751340 2.017649912 2.285352450 2.616200501 3.014460063 3.481600422 4.014111296 4.600988988 5.221250000 5.846831792 6.460337758 7.048474862 7.599012969 8.101363317 8.547019973 8.929842684 9.246176302 9.494816992 9.676847255 9.796094615 9.861009352 9.882088672 9.870627445 9.838277627 9.796734731 9.757560367 9.732141839 9.731786206 9.767947069 9.852587621 9.998693274 10.220962141 10.536723138 10.967162411 11.538983702 12.286695224 13.255817415 14.507464132 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
1950.084931507 9.650000000 4.977467126 2.942158126 1.971561916 1.481671436 1.235380529 1.130491310 1.123211691 1.198654970 1.359174540 1.620000000 2.007815575 2.559834696 3.321158476 4.337776092 5.642282060 7.230408980 9.030288381 10.873799962 12.488558135 13.533333333 13.734289590 13.128423395 11.927709617 10.393762922 8.765828665 7.220224942 5.861101113 4.731638877 3.833372456 3.145000000 2.632979969 2.253795196 1.973594643 1.768946540 1.623758086 1.527265144 1.472755574 1.456822559 1.479036921 1.542000000 1.650523163 1.807751412 2.017650036 2.285352635 2.616200750 3.014460370 3.481600764 4.014111625 4.600989218 5.221250000 5.846831390 6.460336800 7.048473247 7.599010681 8.101360444 8.547016727 8.929839410 9.246173477 9.494815220 9.676847255 9.796097162 9.861015096 9.882098085 9.870640821 9.838295092 9.796756265 9.757585819 9.732170952 9.731818633 9.767982385 9.852625321 9.998732771 10.221002735 10.536763978 10.967202418 11.539021465 12.286728831 13.255844200 14.507480292 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
1950.161643836 9.650000000 4.977467107 2.942158108 1.971561900 1.481671423 1.235380518 1.130491302 1.123211685 1.198654965 1.359174537 1.620000000 2.007815579 2.559834707 3.321158496 4.337776124 5.642282107 7.230409041 9.030288452 10.873800031 12.488558182 13.533333333 13.734289522 13.128423256 11.927709424 10.393762702 8.765828448 7.220224751 5.861100964 4.731638777 3.833372407 3.145000000 2.632980015 2.253795282 1.973594759 1.768946677 1.623758234 1.527265293 1.472755712 1.456822673 1.479036991 1.542000000 1.650523055 1.807751156 2.017649594 2.285351978 2.616199864 3.014459277 3.481599546 4.014110454 4.600988398 5.221250000 5.846832838 6.460340360 7.048479539 7.599020211 8.101373550 8.547033525 8.929859761 9.246196969 9.494841164 9.676874702 9.796124978 9.861042210 9.882123579 9.870663946 9.838315279 9.796773112 9.757599082 9.732180525 9.731824528 9.767984714 9.852624285 9.998728648 10.220995887 10.536754861 10.967191615 11.539009736 12.286717199 13.255834091 14.507473743 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
1950.246575342 9.650000000 4.977467123 2.942158123 1.971561913 1.481671434 1.235380527 1.130491309 1.123211690 1.198654969 1.359174540 1.620000000 2.007815576 2.559834698 3.321158480 4.337776097 5.642282068 7.230408990 9.030288392 10.873799973 12.488558143 13.533333333 13.734289579 13.128423373 11.927709586 10.393762887 8.765828630 7.220224911 5.861101089 4.731638861 3.833372448 3.145000000 2.632979976 2.253795210 1.973594662 1.768946562 1.623758110 1.527265168 1.472755596 1.456822577 1.479036932 1.542000000 1.650523146 1.807751371 2.017649965 2.285352530 2.616200608 3.014460194 3.481600569 4.014111437 4.600989087 5.221250000 5.846831635 6.460337485 7.048474678 7.599013289 8.101364797 8.547023526 8.929849485 9.246187773 9.494834776 9.676873182 9.796130554 9.861056759 9.882148471 9.870700043 9.838362968 9.796832354 9.757669472 9.732261350 9.731914818 9.768083272 9.852729695 9.998839249 10.221109705 10.536869489 10.967304010 11.539115912 12.286811756 13.255909500 14.507519263 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
1950.328767123 9.650000000 4.977467078 2.942158078 1.971561876 1.481671404 1.235380502 1.130491289 1.123211674 1.198654957 1.359174533 1.620000000 2.007815586 2.559834724 3.321158527 4.337776174 5.642282179 7.230409137 9.030288563 10.873800138 12.488558256 13.533333333 13.734289416 13.128423039 11.927709122 10.393762359 8.765828109 7.220224453 5.861100731 4.731638621 3.833372330 3.145000000 2.632980088 2.253795416 1.973594940 1.768946890 1.623758464 1.527265525 1.472755928 1.456822851 1.479037102 1.542000000 1.650522886 1.807750756 2.017648905 2.285350952 2.616198481 3.014457570 3.481597642 4.014108625 4.600987118 5.221250000 5.846835118 6.460346093 7.048489998 7.599036711 8.101397380 8.547065886 8.929901706 9.246249359 9.494904639 9.676949657 9.796211543 9.861140170 9.882232389 9.870782790 9.838443125 9.796908776 9.757741273 9.732327882 9.731975638 9.768138111 9.852778420 9.998881834 10.221146200 10.536899998 10.967328681 11.539134929 12.286825355 13.255918002 14.507523140 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
1950.413698630 9.650000000 4.977466917 2.942157919 1.971561743 1.481671296 1.235380415 1.130491217 1.123211616 1.198654913 1.359174508 1.620000000 2.007815624 2.559834817 3.321158698 4.337776449 5.642282578 7.230409660 9.030289170 10.873800728 12.488558658 13.533333333 13.734288834 13.128421852 11.927707471 10.393760480 8.765826251 7.220222821 5.861099456 4.731637765 3.833371907 3.145000000 2.632980485 2.253796150 1.973595932 1.768948058 1.623759726 1.527266795 1.472757111 1.456823826 1.479037706 1.542000000 1.650521959 1.807748565 2.017645130 2.285345331 2.616190903 3.014448221 3.481587216 4.014098607 4.600980105 5.221250000 5.846847489 6.460376438 7.048543398 7.599117150 8.101507214 8.547205412 8.930068864 9.246439586 9.495110869 9.677162469 9.796419929 9.861333971 9.882403131 9.870923835 9.838549686 9.796977807 9.757771310 9.732318834 9.731928590 9.768055155 9.852662542 9.998736886 10.220976984 10.536712493 10.967130480 11.538935964 12.286639037 13.255763001 14.507426142 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
1950.495890411 9.650000000 4.977467101 2.942158102 1.971561895 1.481671419 1.235380515 1.130491299 1.123211682 1.198654963 1.359174537 1.620000000 2.007815581 2.559834711 3.321158503 4.337776135 5.642282122 7.230409061 9.030288475 10.873800053 12.488558198 13.533333333 13.734289500 13.128423211 11.927709361 10.393762630 8.765828377 7.220224689 5.861100915 4.731638744 3.833372391 3.145000000 2.632980031 2.253795310 1.973594797 1.768946721 1.623758282 1.527265342 1.472755758 1.456822710 1.479037014 1.542000000 1.650523019 1.807751072 2.017649450 2.285351763 2.616199574 3.014458919 3.481599146 4.014110070 4.600988130 5.221250000 5.846833374 6.460342075 7.048483617 7.599028487 8.101388574 8.547058588 8.929898878 9.246254817 9.494922990 9.676986205 9.796271861 9.861228777 9.882352376 9.870935849 9.838629657 9.797128045 9.757991586 9.732606749 9.732279903 9.768464028 9.853121658 9.999237381 10.221508150 10.537261165 10.967679993 11.539464496 12.287117061 13.256149377 14.507662130 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
1950.580821918 9.650000000 4.977467442 2.942158441 1.971562177 1.481671647 1.235380701 1.130491452 1.123211806 1.198655055 1.359174591 1.620000000 2.007815501 2.559834514 3.321158139 4.337775550 5.642281273 7.230407947 9.030287181 10.873798797 12.488557341 13.533333333 13.734290740 13.128425739 11.927712878 10.393766634 8.765832334 7.220228165 5.861103631 4.731640567 3.833373290 3.145000000 2.632979184 2.253793747 1.973592685 1.768944234 1.623755594 1.527262635 1.472753238 1.456820634 1.479035727 1.542000000 1.650525038 1.807756141 2.017659013 2.285367821 2.616224849 3.014497022 3.481654715 4.014188823 4.601096767 5.221395861 5.847023689 6.460582783 7.048778467 7.599378303 8.101790683 8.547506455 8.930381970 9.246758704 9.495429658 9.677474531 9.796719136 9.861615089 9.882662027 9.871157492 9.838756141 9.797156050 9.757921150 9.732440761 9.732023639 9.768124786 9.852708555 9.998761367 10.220982299 10.536701342 10.967106026 11.538902066 12.286600635 13.255726730 14.507401286 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
1950.665753425 9.650000000 4.977467250 2.942158250 1.971562019 1.481671519 1.235380596 1.130491366 1.123211736 1.198655003 1.359174560 1.620000000 2.007815546 2.559834624 3.321158344 4.337775879 5.642281750 7.230408574 9.030287909 10.873799503 12.488557823 13.533333333 13.734290042 13.128424317 11.927710900 10.393764382 8.765830108 7.220226210 5.861102104 4.731639542 3.833372784 3.145000000 2.632979660 2.253794626 1.973593873 1.768945633 1.623757106 1.527264157 1.472754655 1.456821802 1.479036451 1.542000000 1.650523906 1.807753317 2.017653736 2.285359063 2.616211245 3.014476808 3.481625692 4.014148368 4.601041929 5.221323573 5.846931166 6.460468132 7.048641136 7.599219440 8.101613398 8.547315962 8.930185608 9.246565835 9.495251456 9.677323694 9.796608963 9.861556767 9.882663823 9.871224749 9.838891459 9.797359579 9.758190937 9.732773092 9.732413338 9.768565414 9.853192487 9.999279690 10.221524494 10.537254673 10.967654523 11.539424945 12.287069880 13.256103413 14.507629952 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
