 tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium
lat_bins -80 -79 -78 -77 -76 -75 -74 -73 -72 -71 -70 -69 -68 -67 -66 -65 -64 -63 -62 -61 -60 -59 -58 -57 -56 -55 -54 -53 -52 -51 -50 -49 -48 -47 -46 -45 -44 -43 -42 -41 -40 -39 -38 -37 -36 -35 -34 -33 -32 -31 -30 -29 -28 -27 -26 -25 -24 -23 -22 -21 -20 -19 -18 -17 -16 -15 -14 -13 -12 -11 -10 -9 -8 -7 -6 -5 -4 -3 -2 -1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89
time                                                                                                                                                                          
1950.000000000 3.110000000 3.131509576 3.148771263 3.161551748 3.169633783 3.172818937 3.170930322 3.163815252 3.151347800 3.133431189 3.110000000 3.081022123 3.046500428 3.006474107 2.961019643 2.910251379 2.854321653 2.793420476 2.727774735 2.657646914 2.583333333 2.505626990 2.427091147 2.350449700 2.278098804 2.212138836 2.154427806 2.106651820 2.070409937 2.047312782 2.039096774 2.046453069 2.065154961 2.089729198 2.114528264 2.133647656 2.141002840 2.130574491 2.096818062 2.035208596 1.942857143 1.821727750 1.685283004 1.547292297 1.418225974 1.305435591 1.213852172 1.146937839 1.107748284 1.100101632 1.130000000 1.204573488 1.323489072 1.484754050 1.684809000 1.915683340 2.162163649 2.399717332 2.594497159 2.706965947 2.700000000 2.558718434 2.319697335 2.032235607 1.737938935 1.465536058 1.230959768 1.040304269 0.893572695 0.788018114 0.720714286 0.688647696 0.684912263 0.704492055 0.744594822 0.803463437 0.879455480 0.970203138 1.071795688 1.178043399 1.280000000 1.367932562 1.438669060 1.491905388 1.528440322 1.549976737 1.558884817 1.557964980 1.550239635 1.538792729 1.526666667 1.516604116 1.510424411 1.509724864 1.516149237 1.531456677 1.557612364 1.596905620 1.652104801 1.726663482 1.825000000 1.951389490 2.105048980 2.282950052 2.480420918 2.690468683 2.903239660 3.105768176 3.282201154 3.414681273 3.485000000 3.482224817 3.420313564 3.320769894 3.204675348 3.091080700 2.996583245 2.935896231 2.923223752 2.974397933 3.110000000 3.353057071 3.709204618 4.180288542 4.765886342 5.457822250 6.233898270 7.051653805 7.844035226 8.519845121 8.972093867 9.115327665 8.965900584 8.586290820 8.051080934 7.433384480 6.795942396 6.187145829 5.640991807 5.179548708 4.816666667 4.557317679 4.388757971 4.298808442 4.279895892 4.328141826 4.442806973 4.625999756 4.882592526 5.220313570 5.650000000 6.186009319 6.846797343 7.655678284 8.641789634 9.841290147 11.298823619 13.069283701 15.219914814 17.832780093 21.007617389 21.007617389 21.007617389 21.007617389 21.007617389 21.007617389 21.007617389 21.007617389 21.007617389 21.007617389
1950.084931507 3.110000000 3.131509576 3.148771263 3.161551748 3.169633783 3.172818937 3.170930322 3.163815252 3.151347800 3.133431189 3.110000000 3.081022123 3.046500428 3.006474107 2.961019643 2.910251379 2.854321653 2.793420476 2.727774735 2.657646914 2.583333333 2.505626990 2.427091147 2.350449700 2.278098804 2.212138836 2.154427806 2.106651820 2.070409937 2.047312782 2.039096774 2.046453069 2.065154961 2.089729198 2.114528264 2.133647656 2.141002840 2.130574491 2.096818062 2.035208596 1.942857143 1.821727750 1.685283004 1.547292297 1.418225974 1.305435591 1.213852172 1.146937839 1.107748284 1.100101632 1.130000000 1.204573488 1.323489072 1.484754050 1.684809000 1.915683340 2.162163649 2.399717332 2.594497159 2.706965947 2.700000000 2.558718434 2.319697335 2.032235607 1.737938935 1.465536058 1.230959768 1.040304269 0.893572695 0.788018114 0.720714286 0.688647696 0.684912263 0.704492055 0.744594822 0.803463437 0.879455480 0.970203138 1.071795688 1.178043399 1.280000000 1.367932562 1.438669061 1.491905388 1.528440322 1.549976738 1.558884817 1.557964980 1.550239635 1.538792729 1.526666667 1.516604115 1.510424411 1.509724863 1.516149237 1.531456676 1.557612363 1.596905620 1.652104800 1.726663481 1.825000000 1.951389491 2.105048981 2.282950055 2.480420921 2.690468687 2.903239665 3.105768181 3.282201158 3.414681276 3.485000000 3.482224813 3.420313555 3.320769882 3.204675331 3.091080681 2.996583226 2.935896212 2.923223736 2.974397924 3.110000000 3.353057086 3.709204652 4.180288602 4.765886433 5.457822372 6.233898420 7.051653969 7.844035377 8.519845221 8.972093867 9.115327517 8.965900270 8.586290357 8.051080362 7.433383859 6.795941788 6.187145294 5.640991401 5.179548480 4.816666667 4.557317954 4.388758544 4.298809309 4.279897026 4.328143177 4.442808458 4.626001249 4.882593839 5.220314427 5.650000000 6.186007881 6.846793633 7.655671113 8.641777314 9.841270293 11.298792879 13.069237383 15.219846382 17.832680484 21.007474090 21.007474090 21.007474090 21.007474090 21.007474090 21.007474090 21.007474090 21.007474090 21.007474090 21.007474090
1950.161643836 3.110000000 3.131509576 3.148771263 3.161551748 3.169633783 3.172818937 3.170930322 3.163815252 3.151347800 3.133431189 3.110000000 3.081022123 3.046500428 3.006474107 2.961019643 2.910251379 2.854321653 2.793420476 2.727774735 2.657646914 2.583333333 2.505626990 2.427091147 2.350449700 2.278098804 2.212138836 2.154427806 2.106651820 2.070409937 2.047312782 2.039096774 2.046453069 2.065154961 2.089729198 2.114528264 2.133647656 2.141002840 2.130574491 2.096818062 2.035208596 1.942857143 1.821727750 1.685283004 1.547292297 1.418225974 1.305435591 1.213852172 1.146937839 1.107748284 1.100101632 1.130000000 1.204573488 1.323489072 1.484754050 1.684809000 1.915683340 2.162163649 2.399717332 2.594497159 2.706965947 2.700000000 2.558718434 2.319697335 2.032235607 1.737938935 1.465536058 1.230959768 1.040304269 0.893572695 0.788018114 0.720714286 0.688647696 0.684912263 0.704492055 0.744594822 0.803463437 0.879455480 0.970203138 1.071795688 1.178043399 1.280000000 1.367932562 1.438669061 1.491905388 1.528440323 1.549976738 1.558884817 1.557964980 1.550239635 1.538792729 1.526666667 1.516604115 1.510424411 1.509724863 1.516149236 1.531456676 1.557612363 1.596905619 1.652104800 1.726663481 1.825000000 1.951389491 2.105048982 2.282950056 2.480420923 2.690468689 2.903239668 3.105768184 3.282201161 3.414681277 3.485000000 3.482224811 3.420313551 3.320769875 3.204675323 3.091080672 2.996583216 2.935896203 2.923223729 2.974397919 3.110000000 3.353057093 3.709204670 4.180288633 4.765886479 5.457822433 6.233898495 7.051654051 7.844035453 8.519845272 8.972093867 9.115327442 8.965900112 8.586290123 8.051080074 7.433383545 6.795941481 6.187145025 5.640991196 5.179548365 4.816666667 4.557318093 4.388758833 4.298809746 4.279897598 4.328143858 4.442809207 4.626002002 4.882594502 5.220314860 5.650000000 6.186007156 6.846791763 7.655667497 8.641771102 9.841260282 11.298777378 13.069214027 15.219811875 17.832630256 21.007401831 21.007401831 21.007401831 21.007401831 21.007401831 21.007401831 21.007401831 21.007401831 21.007401831 21.007401831
1950.246575342 3.110000000 3.131509576 3.148771263 3.161551748 3.169633783 3.172818937 3.170930322 3.163815252 3.151347800 3.133431189 3.110000000 3.081022123 3.046500428 3.006474107 2.961019643 2.910251379 2.854321653 2.793420476 2.727774735 2.657646914 2.583333333 2.505626990 2.427091147 2.350449700 2.278098804 2.212138836 2.154427806 2.106651820 2.070409937 2.047312782 2.039096774 2.046453069 2.065154961 2.089729198 2.114528264 2.133647656 2.141002840 2.130574491 2.096818062 2.035208596 1.942857143 1.821727750 1.685283004 1.547292297 1.418225974 1.305435591 1.213852172 1.146937839 1.107748284 1.100101632 1.130000000 1.204573488 1.323489072 1.484754050 1.684809000 1.915683340 2.162163649 2.399717332 2.594497159 2.706965947 2.700000000 2.558718434 2.319697335 2.032235607 1.737938935 1.465536058 1.230959768 1.040304269 0.893572695 0.788018114 0.720714286 0.688647696 0.684912263 0.704492055 0.744594822 0.803463437 0.879455480 0.970203138 1.071795688 1.178043399 1.280000000 1.367932562 1.438669061 1.491905388 1.528440323 1.549976738 1.558884818 1.557964981 1.550239635 1.538792730 1.526666667 1.516604115 1.510424410 1.509724862 1.516149235 1.531456674 1.557612361 1.596905617 1.652104798 1.726663480 1.825000000 1.951389493 2.105048986 2.282950062 2.480420932 2.690468702 2.903239682 3.105768199 3.282201174 3.414681286 3.485000000 3.482224800 3.420313527 3.320769838 3.204675276 3.091080619 2.996583161 2.935896151 2.923223686 2.974397893 3.110000000 3.353057135 3.709204769 4.180288805 4.765886737 5.457822782 6.233898921 7.051654516 7.844035885 8.519845558 8.972093867 9.115327022 8.965899219 8.586288801 8.051078446 7.433381775 6.795939747 6.187143501 5.640990038 5.179547716 4.816666667 4.557318878 4.388760465 4.298812214 4.279900829 4.328147706 4.442813436 4.626006254 4.882598242 5.220317302 5.650000000 6.186003060 6.846781196 7.655647072 8.641736008 9.841203727 11.298689814 13.069082090 15.219616950 17.832346524 21.006993649 21.006993649 21.006993649 21.006993649 21.006993649 21.006993649 21.006993649 21.006993649 21.006993649 21.006993649
1950.328767123 3.110000000 3.131509576 3.148771263 3.161551748 3.169633783 3.172818937 3.170930322 3.163815252 3.151347800 3.133431189 3.110000000 3.081022123 3.046500428 3.006474107 2.961019643 2.910251379 2.854321653 2.793420476 2.727774735 2.657646914 2.583333333 2.505626990 2.427091147 2.350449700 2.278098804 2.212138836 2.154427806 2.106651820 2.070409937 2.047312782 2.039096774 2.046453069 2.065154961 2.089729198 2.114528264 2.133647656 2.141002840 2.130574491 2.096818062 2.035208596 1.942857143 1.821727750 1.685283004 1.547292297 1.418225974 1.305435591 1.213852172 1.146937839 1.107748284 1.100101632 1.130000000 1.204573488 1.323489072 1.484754050 1.684809000 1.915683340 2.162163649 2.399717332 2.594497159 2.706965947 2.700000000 2.558718434 2.319697335 2.032235607 1.737938935 1.465536058 1.230959768 1.040304269 0.893572695 0.788018114 0.720714286 0.688647696 0.684912263 0.704492055 0.744594822 0.803463437 0.879455480 0.970203138 1.071795688 1.178043399 1.280000000 1.367932562 1.438669061 1.491905388 1.528440323 1.549976738 1.558884818 1.557964981 1.550239635 1.538792730 1.526666667 1.516604115 1.510424410 1.509724862 1.516149234 1.531456673 1.557612360 1.596905616 1.652104797 1.726663480 1.825000000 1.951389494 2.105048987 2.282950065 2.480420936 2.690468706 2.903239687 3.105768204 3.282201179 3.414681289 3.485000000 3.482224796 3.420313518 3.320769825 3.204675259 3.091080600 2.996583141 2.935896132 2.923223670 2.974397883 3.110000000 3.353057150 3.709204805 4.180288868 4.765886832 5.457822910 6.233899078 7.051654688 7.844036044 8.519845664 8.972093867 9.115326867 8.965898889 8.586288314 8.051077845 7.433381122 6.795939108 6.187142939 5.640989611 5.179547476 4.816666667 4.557319167 4.388761066 4.298813125 4.279902020 4.328149124 4.442814995 4.626007822 4.882599621 5.220318202 5.650000000 6.186001550 6.846777301 7.655639543 8.641723072 9.841182880 11.298657535 13.069033454 15.219545094 17.832241931 21.006843181 21.006843181 21.006843181 21.006843181 21.006843181 21.006843181 21.006843181 21.006843181 21.006843181 21.006843181
1950.413698630 3.110000000 3.131509576 3.148771263 3.161551748 3.169633783 3.172818937 3.170930322 3.163815252 3.151347800 3.133431189 3.110000000 3.081022123 3.046500428 3.006474107 2.961019643 2.910251379 2.854321653 2.793420476 2.727774735 2.657646914 2.583333333 2.505626990 2.427091147 2.350449700 2.278098804 2.212138836 2.154427806 2.106651820 2.070409937 2.047312782 2.039096774 2.046453069 2.065154961 2.089729198 2.114528264 2.133647656 2.141002840 2.130574491 2.096818062 2.035208596 1.942857143 1.821727750 1.685283004 1.547292297 1.418225974 1.305435591 1.213852172 1.146937839 1.107748284 1.100101632 1.130000000 1.204573488 1.323489072 1.484754050 1.684809000 1.915683340 2.162163649 2.399717332 2.594497159 2.706965947 2.700000000 2.558718434 2.319697335 2.032235607 1.737938935 1.465536058 1.230959768 1.040304269 0.893572695 0.788018114 0.720714286 0.688647696 0.684912263 0.704492055 0.744594822 0.803463437 0.879455480 0.970203138 1.071795688 1.178043399 1.280000000 1.367932562 1.438669061 1.491905388 1.528440323 1.549976738 1.558884818 1.557964980 1.550239635 1.538792729 1.526666667 1.516604115 1.510424410 1.509724863 1.516149236 1.531456675 1.557612362 1.596905618 1.652104799 1.726663481 1.825000000 1.951389492 2.105048983 2.282950058 2.480420926 2.690468694 2.903239673 3.105768190 3.282201166 3.414681281 3.485000000 3.482224807 3.420313542 3.320769861 3.204675305 3.091080652 2.996583195 2.935896183 2.923223712 2.974397909 3.110000000 3.353057109 3.709204708 4.180288699 4.765886578 5.457822567 6.233898659 7.051654230 7.844035619 8.519845382 8.972093867 9.115327281 8.965899769 8.586289615 8.051079448 7.433382865 6.795940815 6.187144439 5.640990751 5.179548115 4.816666667 4.557318395 4.388759460 4.298810694 4.279898840 4.328145336 4.442810832 4.626003636 4.882595939 5.220315798 5.650000000 6.186005582 6.846787702 7.655659649 8.641757617 9.841238551 11.298743731 13.069163330 15.219736975 17.832521232 21.007244987 21.007244987 21.007244987 21.007244987 21.007244987 21.007244987 21.007244987 21.007244987 21.007244987 21.007244987
1950.495890411 3.110000000 3.131509576 3.148771263 3.161551748 3.169633783 3.172818937 3.170930322 3.163815252 3.151347800 3.133431189 3.110000000 3.081022123 3.046500428 3.006474107 2.961019643 2.910251379 2.854321653 2.793420476 2.727774735 2.657646914 2.583333333 2.505626990 2.427091147 2.350449700 2.278098804 2.212138836 2.154427806 2.106651820 2.070409937 2.047312782 2.039096774 2.046453069 2.065154961 2.089729198 2.114528264 2.133647656 2.141002840 2.130574491 2.096818062 2.035208596 1.942857143 1.821727750 1.685283004 1.547292297 1.418225974 1.305435591 1.213852172 1.146937839 1.107748284 1.100101632 1.130000000 1.204573488 1.323489072 1.484754050 1.684809000 1.915683340 2.162163649 2.399717332 2.594497159 2.706965947 2.700000000 2.558718434 2.319697335 2.032235607 1.737938935 1.465536058 1.230959768 1.040304269 0.893572695 0.788018114 0.720714286 0.688647696 0.684912263 0.704492055 0.744594822 0.803463437 0.879455480 0.970203138 1.071795687 1.178043399 1.280000000 1.367932563 1.438669061 1.491905389 1.528440325 1.549976740 1.558884820 1.557964983 1.550239637 1.538792731 1.526666667 1.516604114 1.510424407 1.509724857 1.516149229 1.531456667 1.557612353 1.596905609 1.652104791 1.726663476 1.825000000 1.951389500 2.105049001 2.282950088 2.480420969 2.690468749 2.903239737 3.105768255 3.282201223 3.414681317 3.485000000 3.482224756 3.420313433 3.320769698 3.204675098 3.091080417 2.996582951 2.935895953 2.923223521 2.974397790 3.110000000 3.353057293 3.709205148 4.180289465 4.765887725 5.457824115 6.233900552 7.051656297 7.844037536 8.519846653 8.972093867 9.115325412 8.965895800 8.586283745 8.051072214 7.433374999 6.795933114 6.187137669 5.640985607 5.179545231 4.816666667 4.557321881 4.388766710 4.298821662 4.279913193 4.328162430 4.442829621 4.626022527 4.882612555 5.220326648 5.650000000 6.185987385 6.846740761 7.655568912 8.641601718 9.840987314 11.298354737 13.068577218 15.218871049 17.831260804 21.005431729 21.005431729 21.005431729 21.005431729 21.005431729 21.005431729 21.005431729 21.005431729 21.005431729 21.005431729
1950.580821918 3.110000000 3.131509576 3.148771262 3.161551747 3.169633782 3.172818937 3.170930321 3.163815252 3.151347799 3.133431189 3.110000000 3.081022123 3.046500429 3.006474108 2.961019644 2.910251380 2.854321654 2.793420476 2.727774735 2.657646914 2.583333333 2.505626990 2.427091146 2.350449699 2.278098802 2.212138835 2.154427804 2.106651819 2.070409935 2.047312781 2.039096774 2.046453070 2.065154963 2.089729202 2.114528268 2.133647661 2.141002846 2.130574496 2.096818066 2.035208599 1.942857143 1.821727747 1.685282998 1.547292288 1.418225963 1.305435579 1.213852160 1.146937828 1.107748276 1.100101627 1.130000000 1.204573496 1.323489091 1.484754083 1.684809049 1.915683406 2.162163728 2.399717417 2.594497236 2.706965996 2.700000000 2.558718371 2.319697210 2.032235438 1.737938745 1.465535870 1.230959599 1.040304131 0.893572595 0.788018061 0.720714286 0.688647760 0.684912400 0.704492273 0.744595125 0.803463823 0.879455932 0.970203620 1.071796131 1.178043697 1.280000000 1.367932088 1.438667983 1.491903661 1.528437998 1.549973961 1.558881827 1.557962095 1.550237242 1.538791279 1.526666667 1.516606079 1.510428634 1.509731383 1.516157843 1.531466913 1.557623513 1.596916657 1.652114316 1.726669556 1.825000000 1.951380060 2.105027015 2.282913263 2.480368378 2.690401570 2.903162109 3.105688070 3.282130603 3.414636446 3.485000000 3.482288300 3.420452106 3.320987132 3.204968767 3.091443974 2.997008461 2.936375613 2.923750701 2.974967328 3.110607637 3.353698148 3.709871883 4.180969967 4.766563365 5.458469299 6.234484409 7.052147317 7.844411398 8.520096091 8.972237479 9.115406969 8.965962791 8.586374086 8.051209391 7.433567995 6.796179389 6.187427258 5.641304912 5.179879716 4.817002230 4.557645836 4.389070087 4.299098328 4.280158647 4.328373073 4.443002354 4.626154601 4.882701661 5.220371249 5.650000000 6.185945232 6.846663172 7.655469492 8.641504846 9.840933824 11.298410148 13.068843515 15.219503385 17.832490977 21.007600865 21.007600865 21.007600865 21.007600865 21.007600865 21.007600865 21.007600865 21.007600865 21.007600865 21.007600865
